A1BG
A2M
A4GALT
AADAC
AADAT
AASS
AATK
ABAT
ABCA1
ABCA12
ABCA2
ABCA3
ABCA5
ABCA7
ABCB1
ABCB5
ABCB6
ABCC2
ABCC3
ABCC4
ABCD1
ABCG1
ABCG2
ABHD11
ABHD2
ABHD4
ABHD8
ABI3
ABI3BP
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABTB2
ACAA2
ACAN
ACAP1
ACAT2
ACBD7
ACCS
ACE
ACHE
ACO1
ACOT1
ACOT11
ACOT2
ACOT4
ACOX2
ACP5
ACSF2
ACSL1
ACSL4
ACSL5
ACSM3
ACSS1
ACSS2
ACSS3
ACTA2
ACTC1
ACTG2
ACTL6B
ACTL8
ACTN1
ACTR3C
ACVR1
ACY3
ADA
ADAM12
ADAM15
ADAM19
ADAM22
ADAM23
ADAM28
ADAM8
ADAM9
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS14
ADAMTS15
ADAMTS2
ADAMTS3
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS9
ADAMTSL1
ADAMTSL4
ADAMTSL5
ADAP1
ADARB1
ADCY1
ADCY6
ADCY7
ADCY9
ADCYAP1
ADD2
ADD3
ADH1C
ADM
ADM2
ADORA1
ADORA2A
ADORA2B
ADPRH
ADPRHL1
ADRA2A
ADRA2C
ADRB2
AEBP1
AFAP1
AFAP1L1
AFAP1L2
AFF3
AFP
AGAP1
AGAP2
AGMAT
AGMO
AGPAT2
AGPAT4
AGR2
AGR3
AGRN
AGT
AHNAK
AHNAK2
AHR
AHRR
AIF1
AIF1L
AIFM2
AIFM3
AIG1
AIM2
AJUBA
AK1
AK4
AK5
AKAP12
AKAP7
AKNA
AKR1B1
AKR1B10
AKR1C1
AKR1C2
AKR1C3
AKR1E2
AKR7A3
AKT3
ALB
ALCAM
ALDH1A1
ALDH1A2
ALDH1A3
ALDH1B1
ALDH1L1
ALDH1L2
ALDH2
ALDH3A1
ALDH3A2
ALDH3B1
ALDH3B2
ALDH5A1
ALDH7A1
ALDOC
ALKBH3
ALOX5
ALOX5AP
ALPK2
ALPK3
ALPL
ALPP
ALS2CL
ALX1
AMACR
AMBP
AMH
AMIGO2
AMN
AMOT
AMOTL1
AMOTL2
AMPD3
AMPH
AMTN
ANG
ANGPT1
ANGPTL2
ANGPTL4
ANK1
ANK2
ANK3
ANKH
ANKLE1
ANKRD1
ANKRD13B
ANKRD18A
ANKRD18B
ANKRD2
ANKRD22
ANKRD29
ANKRD33B
ANKRD37
ANKRD44
ANKRD6
ANKRD65
ANKS4B
ANLN
ANO1
ANO9
ANPEP
ANTXR1
ANTXR2
ANXA1
ANXA10
ANXA13
ANXA2
ANXA3
ANXA4
ANXA5
ANXA6
ANXA8
ANXA8L1
ANXA9
AOAH
AOX1
AP1G2
AP1M2
AP1S2
AP1S3
AP3B2
APBA2
APBB1
APBB1IP
APBB2
APCDD1
APCDD1L
APH1B
APLN
APLP1
APLP2
APOA2
APOBEC3B
APOBEC3C
APOBEC3D
APOBEC3G
APOBR
APOC1
APOC2
APOD
APOE
APOL1
APOL2
APOL3
APOL6
APOLD1
APP
AQP1
AQP3
AQP5
AR
ARAP2
ARAP3
ARC
AREG
ARG2
ARHGAP10
ARHGAP15
ARHGAP18
ARHGAP21
ARHGAP22
ARHGAP23
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP27
ARHGAP28
ARHGAP29
ARHGAP30
ARHGAP31
ARHGAP32
ARHGAP33
ARHGAP39
ARHGAP4
ARHGAP40
ARHGAP42
ARHGAP44
ARHGAP5
ARHGAP8
ARHGAP9
ARHGDIB
ARHGDIG
ARHGEF10
ARHGEF10L
ARHGEF16
ARHGEF17
ARHGEF19
ARHGEF25
ARHGEF26
ARHGEF35
ARHGEF37
ARHGEF4
ARHGEF40
ARHGEF5
ARHGEF6
ARID3A
ARID3B
ARID5A
ARID5B
ARL10
ARL11
ARL14
ARL4A
ARL4C
ARL4D
ARMC9
ARMCX1
ARMCX2
ARMCX3
ARMCX4
ARMCX6
ARNT2
ARPC1B
ARPP21
ARRB1
ARRDC1
ARRDC3
ARRDC4
ARSD
ARSI
ARSJ
ARTN
ARVCF
AS3MT
ASAH1
ASAP2
ASAP3
ASB2
ASB9
ASCL1
ASCL2
ASNS
ASPH
ASPHD1
ASRGL1
ASS1
ATCAY
ATF3
ATF5
ATF7IP2
ATG16L2
ATG9B
ATL1
ATOH8
ATP10A
ATP10B
ATP10D
ATP11A
ATP11C
ATP1A3
ATP1B1
ATP2A3
ATP2B4
ATP2C2
ATP6V0A4
ATP6V0E2
ATP6V1B1
ATP7B
ATP8A1
ATP8B1
ATP8B2
ATP8B3
ATP9A
ATRNL1
ATXN1
AUTS2
AVPI1
AXIN2
AXL
AZGP1
AZU1
B2M
B3GALNT1
B3GALT5
B3GAT1
B3GNT3
B3GNT5
B3GNT7
B3GNT9
B4GALNT1
B4GALNT3
B4GALNT4
B4GALT1
B4GALT6
BAALC
BACE1
BACE2
BACH2
BAG3
BAHCC1
BAIAP2
BAIAP2L1
BAIAP2L2
BAIAP3
BAMBI
BANK1
BARX1
BARX2
BASP1
BATF
BATF3
BBC3
BCAM
BCAN
BCAR1
BCAR3
BCAS1
BCAS4
BCAT1
BCHE
BCL11A
BCL11B
BCL2
BCL2A1
BCL2L1
BCL2L14
BCL2L15
BCL3
BCL6
BCL7A
BCL9L
BDH1
BDKRB1
BDKRB2
BDNF
BEGAIN
BEND4
BEND5
BEND7
BEST1
BEST3
BEX1
BEX2
BEX4
BEX5
BGN
BHLHA15
BHLHE22
BHLHE40
BHLHE41
BHMT2
BICC1
BIK
BIN1
BIN2
BIRC3
BIRC7
BIVM
BLK
BLNK
BLVRA
BLVRB
BMF
BMP1
BMP2
BMP4
BMP6
BMP7
BMP8B
BMPER
BNC1
BNC2
BNIP3
BOC
BOK
BPIFB1
BRSK1
BRSK2
BSCL2
BSPRY
BST1
BST2
BTBD19
BTBD3
BTBD6
BTC
BTG1
BTG2
BTG3
BTK
BTN2A2
BTN3A1
BTN3A2
BTN3A3
BTNL9
BVES
C10orf90
C11orf96
C12orf75
C14orf132
C15orf48
C16orf54
C16orf74
C19orf33
C1QL1
C1QL4
C1QTNF1
C1QTNF5
C1QTNF6
C1R
C1RL
C1S
C1orf115
C1orf116
C1orf198
C1orf21
C1orf210
C1orf226
C1orf54
C2
C21orf58
C21orf91
C2CD2
C2orf15
C2orf72
C2orf74
C3
C3orf14
C3orf18
C3orf52
C4A
C4B
C4BPB
C4orf19
C4orf48
C5orf46
C5orf63
C6orf132
C6orf141
C6orf15
C9orf152
CA11
CA12
CA14
CA2
CA8
CA9
CABLES1
CABYR
CACHD1
CACNA1A
CACNA1C
CACNA1D
CACNA1H
CACNA2D1
CACNA2D2
CACNA2D3
CACNA2D4
CACNB3
CACNG4
CACNG6
CACNG7
CADM1
CADM3
CADM4
CADPS
CADPS2
CALB1
CALB2
CALCA
CALCB
CALCRL
CALD1
CALHM2
CALML3
CALML4
CALML5
CALU
CAMK1
CAMK1D
CAMK2B
CAMK2D
CAMK2N1
CAMK2N2
CAMK4
CAMKV
CAMSAP2
CAMSAP3
CAND2
CAP2
CAPG
CAPN12
CAPN2
CAPN3
CAPN5
CAPN6
CAPN8
CAPRIN2
CAPS
CARD10
CARD11
CARD16
CARD6
CASP1
CASP10
CASP4
CASP8
CAST
CASZ1
CATSPER1
CAV1
CAV2
CBFA2T3
CBLC
CBLN1
CBLN2
CBR1
CBR3
CBS
CBX2
CBX6
CC2D2A
CCBE1
CCDC106
CCDC120
CCDC136
CCDC149
CCDC152
CCDC28B
CCDC3
CCDC50
CCDC68
CCDC69
CCDC71L
CCDC74A
CCDC74B
CCDC78
CCDC8
CCDC80
CCDC85B
CCDC85C
CCDC88A
CCDC88B
CCDC88C
CCK
CCL15
CCL2
CCL20
CCL22
CCL26
CCL28
CCL3
CCL5
CCNA1
CCND1
CCND2
CCND3
CCNE1
CCNE2
CCNJL
CCNO
CCPG1
CCR7
CCRL2
CD109
CD14
CD151
CD163L1
CD19
CD200
CD22
CD247
CD248
CD27
CD274
CD276
CD300A
CD302
CD320
CD33
CD36
CD37
CD38
CD3D
CD3E
CD4
CD40
CD44
CD47
CD48
CD52
CD53
CD55
CD59
CD63
CD68
CD69
CD7
CD70
CD72
CD74
CD79A
CD79B
CD81
CD82
CD83
CD86
CD9
CD96
CD99
CD99L2
CDA
CDC14B
CDC42BPA
CDC42BPB
CDC42BPG
CDC42EP1
CDC42EP2
CDC42EP3
CDC42EP4
CDC42EP5
CDCA7
CDCA7L
CDCP1
CDH1
CDH11
CDH12
CDH13
CDH17
CDH18
CDH19
CDH2
CDH24
CDH3
CDH4
CDH6
CDH8
CDHR1
CDHR2
CDHR5
CDK14
CDK15
CDK18
CDK5R1
CDK5R2
CDK6
CDKN1A
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDO1
CDON
CDR2L
CDS1
CDT1
CDX1
CDX2
CDYL2
CEACAM1
CEACAM19
CEACAM21
CEACAM5
CEACAM6
CEBPA
CEBPB
CEBPD
CECR2
CEL
CELF2
CELF3
CELF4
CELSR1
CELSR2
CELSR3
CEND1
CENPF
CENPV
CEP112
CEP170
CERCAM
CERS1
CERS4
CERS6
CES1
CES3
CES4A
CFB
CFD
CFH
CFI
CFL2
CFLAR
CFTR
CGA
CGB5
CGB8
CGN
CGNL1
CGREF1
CHAC1
CHCHD10
CHD7
CHDH
CHFR
CHGA
CHGB
CHI3L1
CHI3L2
CHL1
CHMP4C
CHN1
CHN2
CHPF
CHPT1
CHRD
CHRDL1
CHRNA3
CHRNB1
CHRNB2
CHST10
CHST11
CHST12
CHST15
CHST2
CHST3
CHST7
CIB2
CIDEB
CIITA
CISH
CITED1
CITED2
CITED4
CKAP4
CKB
CKMT1A
CKMT1B
CLCA2
CLCF1
CLCN4
CLDN1
CLDN10
CLDN11
CLDN15
CLDN16
CLDN18
CLDN2
CLDN23
CLDN3
CLDN4
CLDN6
CLDN7
CLDN9
CLEC11A
CLEC2B
CLEC2D
CLEC7A
CLGN
CLIC2
CLIC3
CLIC4
CLIC5
CLIP2
CLIP3
CLIP4
CLMN
CLMP
CLRN3
CLSTN2
CLSTN3
CLTCL1
CLU
CMBL
CMPK2
CMTM3
CMTM4
CMTM7
CMTM8
CNFN
CNIH2
CNIH3
CNKSR1
CNKSR3
CNN1
CNN2
CNN3
CNNM1
CNPY4
CNR1
CNRIP1
CNTFR
CNTN1
CNTNAP1
CNTNAP2
CNTNAP3
CNTNAP3B
COBL
COBLL1
COCH
COL11A1
COL12A1
COL13A1
COL14A1
COL15A1
COL16A1
COL17A1
COL18A1
COL1A1
COL1A2
COL21A1
COL22A1
COL27A1
COL2A1
COL3A1
COL4A1
COL4A2
COL4A5
COL4A6
COL5A1
COL5A2
COL5A3
COL6A1
COL6A2
COL6A3
COL7A1
COL8A1
COL8A2
COL9A2
COL9A3
COLEC12
COMTD1
COPZ2
CORO1A
CORO2A
CORO2B
CORO6
COTL1
COX6B2
COX7A1
COX7B2
CP
CPA4
CPE
CPEB1
CPEB2
CPLX1
CPLX2
CPM
CPNE2
CPNE5
CPNE7
CPNE8
CPPED1
CPS1
CPT1A
CPT1B
CPT1C
CPVL
CPXM1
CPZ
CRABP1
CRABP2
CRAT
CRB3
CREB3L1
CREB3L2
CREB3L4
CREB5
CREG1
CRIM1
CRIP1
CRIP2
CRISPLD1
CRISPLD2
CRLF1
CRMP1
CRTAC1
CRTAP
CRY1
CRYAB
CRYL1
CRYM
CRYZ
CSAG1
CSAG3
CSF1
CSF2
CSF2RA
CSF2RB
CSF3
CSF3R
CSGALNACT1
CSPG4
CSRP1
CSRP2
CST1
CST3
CST6
CST7
CSTA
CT45A1
CT45A3
CT45A5
CTAG1B
CTAG2
CTBP2
CTDSPL
CTF1
CTH
CTHRC1
CTIF
CTNNA1
CTNNA2
CTNNAL1
CTNND1
CTNND2
CTSA
CTSB
CTSC
CTSD
CTSE
CTSF
CTSG
CTSH
CTSK
CTSO
CTSS
CTSZ
CTTN
CTTNBP2
CTXN1
CUEDC1
CX3CL1
CXADR
CXCL1
CXCL10
CXCL12
CXCL14
CXCL16
CXCL17
CXCL2
CXCL3
CXCL5
CXCL6
CXCR4
CXXC4
CXXC5
CYB561
CYB5A
CYB5R2
CYBA
CYBB
CYBRD1
CYFIP1
CYFIP2
CYGB
CYP1A1
CYP1B1
CYP24A1
CYP26B1
CYP27A1
CYP2J2
CYP2S1
CYP2W1
CYP3A5
CYP4F11
CYP4F12
CYP4F3
CYP4V2
CYTH3
CYTH4
CYTIP
CYTL1
CYYR1
DAAM1
DAAM2
DAB2
DAB2IP
DACH1
DACT1
DAG1
DAGLA
DAPK1
DAPL1
DAPP1
DBN1
DBNDD1
DBNDD2
DCBLD1
DCBLD2
DCDC2
DCHS1
DCLK1
DCLK2
DCN
DCT
DCX
DDAH1
DDAH2
DDC
DDIT3
DDIT4
DDIT4L
DDR1
DDR2
DDT
DDX3Y
DDX43
DDX60
DDX60L
DEF6
DEFB1
DEGS2
DENND1C
DENND2A
DENND2D
DENND3
DENND5A
DEPDC7
DEPTOR
DERL3
DES
DGAT2
DGCR6
DGKA
DGKD
DGKG
DGKI
DHCR24
DHCR7
DHRS2
DHRS3
DHRS9
DHX32
DHX58
DIO2
DIP2C
DIRAS1
DIRAS3
DIXDC1
DKK1
DKK2
DKK3
DLC1
DLG3
DLG4
DLG5
DLGAP1
DLK1
DLK2
DLL1
DLL3
DLX1
DLX2
DLX3
DLX4
DLX5
DLX6
DMBT1
DMC1
DMD
DMKN
DMPK
DMRTA2
DNAH14
DNAJA4
DNAJB4
DNAJB5
DNAJC12
DNAJC15
DNAJC22
DNAJC6
DNALI1
DNER
DNM1
DNMBP
DNMT3A
DNMT3B
DNTT
DOC2A
DOC2B
DOCK1
DOCK10
DOCK11
DOCK2
DOCK4
DOCK5
DOCK6
DOCK8
DOCK9
DOK1
DOK2
DOK3
DOK4
DOK5
DOK7
DPEP1
DPF1
DPP4
DPP7
DPY19L1
DPY19L2
DPYD
DPYSL2
DPYSL3
DPYSL4
DPYSL5
DQX1
DRAM1
DRD2
DSC2
DSC3
DSE
DSEL
DSG2
DSG3
DSP
DST
DSTN
DTNA
DTX1
DTX3
DTX3L
DTX4
DUOX1
DUOXA1
DUSP1
DUSP10
DUSP15
DUSP2
DUSP23
DUSP26
DUSP3
DUSP4
DUSP5
DUSP6
DUSP8
DUSP9
DYNC1I1
DYNC2H1
DYNLT3
DYRK1B
DYRK3
DYSF
DZIP1
DZIP1L
