aars2
aasdhppt
abhd11
acaca
acad9
acd
acin1
acly
aco2
acox1
acsl3
acsl4
actb
actg1
actr1a
actr3
actr5
actr6
actr8
adar
adat2
adat3
adnp
adrm1
adsl
agap6
ahcy
ahcyl1
aifm1
ak2
ak4
akirin1
aktip
alas1
aldh18a1
aldoc
alg1
alg10b
alg13
alg5
alg6
alg8
ambra1
amd1
amy2a
anapc13
ankrd11
ankrd17
ankrd49
ankrd52
anln
ap2m1
ap2s1
ap3b1
apc
apex2
aqp7
arf1
arf4
arf6
arfrp1
arglu1
arhgap11a
arhgap29
arhgef5
arhgef7
arid1a
arid2
arid4b
armc5
arpc2
arpc4
ascc3
ash2l
asns
aspm
atad5
atf4
atg9a
atic
atl2
atmin
atp1a1
atp1b3
atp2b1
atp6ap1
atp6ap2
atp6v0e1
atp6v1g1
atrip
atrx
atxn10
atxn7l3
aurkaip1
b3gat3
bak1
bap1
bard1
baz1b
bcap31
bcar1
bccip
bcl2l1
bcl9
bclaf1
bcs1l
bet1
birc2
birc6
blm
bmpr1a
bnip1
bola3
bora
bptf
braf
brap
brat1
brca1
brca2
brd2
brd7
brd8
brip1
brk1
brms1
brpf1
btaf1
btf3l4
c17orf49
c17orf58
c18orf21
c19orf25
c19orf53
c1d
c1orf109
c1qbp
c1qtnf4
c3orf38
c8orf33
c9orf78
cab39
cacnb3
cad
camlg
cand1
cap1
carm1
cars2
casc3
cbfb
cbll1
ccar1
ccdc115
ccdc12
ccdc137
ccdc144a
ccdc22
ccdc51
ccdc6
ccdc74b
ccdc86
ccnb1
ccnc
ccnd1
ccnd2
ccnd3
ccne1
ccnl1
ccnt1
ccp110
cd2bp2
cdan1
cdc25a
cdc25b
cdc42
cdc42se1
cdca3
cdca5
cdh2
cdipt
cdk12
cdk13
cdk2
cdk4
cdk5rap3
cdk6
cds2
cenpa
cenpf
cenph
cenpi
cenpo
cenpp
cenpt
cep135
cep55
cep85
cep97
cept1
cers2
cfl1
cflar
chchd1
chchd2
chchd3
chd1
chd8
chka
chmp1a
chmp3
chmp4b
chmp5
chmp7
chordc1
chtf18
chtf8
chtop
cinp
cir1
cit
cited2
cks2
clasrp
clcc1
clk2
clpb
cmc1
cmip
cmpk1
cnih4
cnot1
cnot2
cnot7
coa5
coasy
cog1
cog2
cog3
cog4
cog5
cog6
cog7
cog8
coil
commd3
cops3
coq2
coq3
coq4
coq5
coq7
cox10
cox11
cox15
cox17
cox18
cox19
cox4i1
cox5a
cox5b
cox6a1
cox6b1
cox6c
cox7b
cox7c
cpamd8
cpd
cpox
crebbp
crk
crkl
crls1
crygd
cs
csde1
csnk2b
ctbp2
ctc1
ctdnep1
ctdspl2
ctnna1
ctnnb1
ctnnbl1
ctu1
ctu2
cul1
cul2
cul3
cwc25
cwf19l2
cxxc1
cyb5b
cyb5r4
cyc1
cycs
cyfip1
cyp27b1
dap3
dars2
daxx
dazap1
dbf4
dcaf15
dclre1b
dcp2
dcps
dctn1
dctn3
dda1
ddi2
ddn
ddx1
ddx11
ddx19a
ddx28
ddx39b
ddx3x
ddx52
denr
derl2
det1
dhodh
dhps
dhx29
dhx30
dhx35
diaph3
dicer1
dido1
dld
dlg5
dlst
dnaja1
dnajb11
dnajb6
dnajc11
dnajc13
dnajc19
dnajc9
dnlz
dnm1l
dock5
dohh
dolk
dolpp1
dot1l
dpf2
dph1
dph2
dph3
dpm1
dpm2
dpm3
dpy19l2
dpy30
dr1
drap1
drosha
dscc1
dtymk
dusp4
dync1li2
dynll1
dyrk1a
e2f1
e2f3
e4f1
eaf1
ears2
ecsit
ect2
edc4
eed
eef1b2
eefsec
efna3
efr3a
egfr
egln1
ehmt2
eif1ax
eif2ak4
eif3h
eif3j
eif3l
eif4b
eif4e2
eif4g2
eif5a
eif5al1
eif5b
elavl1
elmo2
elof1
elp2
elp3
elp4
eno1
ensa
eny2
ep300
epc1
epc2
eral1
erbb2
erbb3
ercc4
ercc6l
esco2
exoc1
exoc2
exoc4
exoc5
exoc8
exosc1
exosc10
ext1
ext2
extl3
ezh2
fadd
faf2
fam133b
fam136a
fam50a
fam98b
fanca
fancd2
fancf
fanci
fancl
fancm
fars2
fasn
fastkd5
fblim1
fbxo11
fbxo42
fbxw11
fcho2
fdft1
fdps
fdx1
fdxr
fech
fen1
fermt2
fgfr1
fgfr1op2
fh
fis1
flcn
flii
fnbp4
fntb
fosl1
foxk1
foxm1
foxred1
fpgs
frg1
frs2
fubp1
furin
fxn
fzr1
g6pd
gab1
gabpb1
gadd45gip1
gak
ganab
gar1
gart
gata3
gatad2a
gatc
gcsh
gemin2
gemin4
gemin6
gemin7
gemin8
get4
gfer
gfm1
gfm2
gfpt1
ggnbp2
gle1
glmn
glrx3
glrx5
gls
gmnn
gmppb
gmps
gnb1
gnb1l
gnpnat1
golt1b
gon4l
got2
gpat2
gpatch1
gpi
gpr61
gpx4
gpx8
grb2
grhl2
grsf1
grwd1
gtf2a1
gtf2h4
gtf3c3
gtf3c4
gtf3c5
gtf3c6
gtpbp10
gtse1
hamp
hapln2
hars2
haus8
hccs
heatr3
heatr6
hectd1
hexim1
hgs
higd2a
hira
hmbs
hmga1
hmgb1
hnf1b
hnrnpa1
hnrnpa1l2
hnrnpa2b1
hnrnpd
hnrnpf
hnrnph1
hnrnpm
hnrnpr
hoxd13
hrk
hs6st1
hscb
hsd17b10
hsd17b12
hsf1
hsp90ab1
hsp90b1
hspa13
hspa14
hspa8
htatsf1
htt
hus1
huwe1
iars2
iba57
icmt
idh3a
ier3ip1
igf1r
ilk
immt
impdh2
ing3
inhbe
ino80b
ints10
ints12
ints6
ipo5
ipo9
ippk
ireb2
irf2bp2
irf4
irs2
isca1
isca2
ist1
itga3
itgav
itgb1
itgb5
itpk1
iws1
jazf1
jmjd6
jtb
jun
junb
kat2a
kat5
kat6a
kat7
katnb1
kcnj9
kctd10
kdm2a
kdm5c
kdsr
keap1
khsrp
kiaa2013
kif14
kif18a
kif18b
kif20a
kif22
kif2c
kif4a
klc2
klf16
klf5
klhl11
kntc1
kpna2
kras
krtcap2
kti12
lage3
lamtor1
lamtor2
lamtor3
larp1
lars2
lcmt1
ldb1
ldha
lemd2
lemd3
leng1
leng8
leo1
letm1
lias
lig1
lig3
lin52
lin54
lin9
lipt1
llph
lmna
lmnb1
lrpprc
lrrc37b
lsm10
lsm12
lst1
luc7l2
mad2l2
maea
manf
map3k11
map3k7
mapk1
mapk14
mapkap1
mark2
mars2
matr3
mau2
mbnl1
mbtd1
mbtps1
mbtps2
mcat
mcl1
mcm10
mcmbp
mdm2
mdm4
meaf6
med1
med10
med12
med13l
med15
med16
med19
med23
med24
med25
med26
med9
memo1
men1
metap1
metap2
mettl1
mettl14
mettl17
mettl3
mfn2
mgat1
mib1
mios
mipep
mis18a
mlst8
mmgt1
mms19
mnat1
mob4
mocs3
mon2
mphosph6
mphosph8
mprip
mrpl1
mrpl10
mrpl11
mrpl12
mrpl13
mrpl14
mrpl15
mrpl16
mrpl17
mrpl18
mrpl19
mrpl2
mrpl20
mrpl21
mrpl22
mrpl23
mrpl24
mrpl27
mrpl28
mrpl3
mrpl32
mrpl33
mrpl35
mrpl36
mrpl37
mrpl38
mrpl39
mrpl4
mrpl40
mrpl41
mrpl43
mrpl44
mrpl46
mrpl47
mrpl48
mrpl49
mrpl50
mrpl51
mrpl53
mrpl54
mrpl55
mrpl9
mrps10
mrps11
mrps12
mrps14
mrps15
mrps16
mrps17
mrps18a
mrps18b
mrps18c
mrps2
mrps22
mrps23
mrps24
mrps25
mrps26
mrps27
mrps28
mrps30
mrps31
mrps33
mrps34
mrps35
mrps5
mrps6
mrps7
mrps9
msi2
msl1
msto1
mt1e
mta2
mtch2
mtf1
mtfmt
mtg1
mthfd1
mtif2
mto1
mtpap
mtrf1l
mtx2
muc20
mus81
mvd
mvk
mxra7
myb
mybbp1a
mybl2
myh9
n6amt1
naa10
naa20
naa25
naa30
naa35
naca2
nae1
naf1
nampt
napg
nars2
nasp
nbas
ncapd3
ncapg2
ncaph2
nckap1
ncoa4
ncoa6
nde1
ndor1
ndufa1
ndufa10
ndufa11
ndufa13
ndufa2
ndufa4
ndufa5
ndufa6
ndufa8
ndufa9
ndufab1
ndufaf1
ndufaf3
ndufaf4
ndufb10
ndufb11
ndufb2
ndufb3
ndufb4
ndufb5
ndufb6
ndufb7
ndufb8
ndufb9
ndufc1
ndufc2
ndufs1
ndufs2
ndufs3
ndufs5
ndufs7
ndufs8
ndufv1
ndufv2
nfatc2ip
nfe2l2
nfe2l3
nfkbie
nfrkb
nfu1
nfya
nfyb
ngly1
nhlrc2
nhp2
nipbl
nisch
nme2
nme6
nmnat1
nmt1
noa1
noc3l
nol7
nolc1
nono
npepps
nr2c2ap
nras
nrbp1
nsmce1
nsmce2
nsmce4a
nsrp1
nsun4
nubp2
nubpl
nudc
nudcd3
numa1
nup153
nup188
nup35
nup37
nup43
nup50
nup54
nup62
nxt1
ogdh
oip5
olfml3
opa1
orc3
orc4
orc5
osbp
ostc
otop1
otud5
oxa1l
oxsm
pa2g4
pabpc1
paics
pak2
palb2
pard3
pard6b
parn
pars2
pax8
paxip1
pbrm1
pc
pcm1
pcnt
pcyt1a
pdap1
pdcd2
pdcd5
pdcd6
pdcd6ip
pdcl
pde12
